-0.054504,0.052154
-0.0072846,0.10603
0.2195,0.12483
0.23596,0.0084979
0.16769,0.20409
0.26949,0.42107
0.21283,0.071448
0.3076,0.54074
0.3748,0.65123
0.45024,0.43274
0.53962,0.47702
0.55355,0.82418
0.56365,0.69477
0.66731,0.73891
0.63501,0.67005
0.71439,0.58677
0.81907,0.70973
0.69278,0.93352
0.76929,0.71647
0.76444,0.94385
0.76304,0.85279
0.91693,0.78181
0.86813,1.426
0.82768,1.3239
0.88084,1.1588
0.99826,1.4794
0.9959,1.3166
0.98136,1.4444
0.90619,1.4859
0.96669,1.5104
0.94938,1.5026
1.0667,1.5478
0.96645,1.4553
1.0394,1.8857
1.0764,1.6404
1.0508,1.7416
1.0049,1.5853
0.8968,1.8563
1.0625,2.2
0.86288,1.7275
0.87499,2.1442
0.88655,1.7571
0.90054,2.2072
0.85057,2.4576
0.76834,2.2248
0.72834,2.019
0.67062,2.6438
0.69241,2.14
0.66107,2.2654
0.63074,2.5376
0.57942,2.575
0.58285,2.5347
0.50848,2.6506
0.4427,2.7375
0.41354,2.6662
0.46364,2.8031
0.33824,2.7259
0.34054,2.746
0.22024,2.7978
0.15536,2.9658
0.21078,2.798
0.12206,2.9103
0.011413,3.0759
0.060384,3.2215
-0.070193,3.1591
-0.11151,3.2495
-0.16027,3.174
-0.21466,3.0457
-0.24136,3.2792
-0.37508,3.3315
-0.32333,3.7861
-0.51999,3.7549
-0.44337,3.7019
-0.54298,3.8946
-0.50698,3.7164
-0.62206,3.6362
-0.56846,3.9717
-0.68576,3.7143
-0.7349,3.7439
-0.70957,4.0585
-0.77502,3.8837
-0.81485,3.8416
-0.84602,3.9426
-0.80362,4.0225
-0.89621,3.9257
-0.90065,4.1016
-0.94596,4.4054
-0.94388,4.783
-0.99101,4.2825
-0.93998,4.5697
-0.9643,4.856
-0.94448,4.5468
-0.98102,4.5241
-0.98171,4.692
-0.99039,4.7416
-0.92192,4.5855
-1.0025,4.8227
-1.0085,4.7315
-0.96845,4.6806
-0.99193,4.9737
-1.0251,5.1798
-0.97331,5.1696
-0.95369,5.1003
-0.8823,5.2905
-0.85684,5.4158
-0.86935,5.2218
-0.82062,5.2344
-0.84807,5.4923
-0.77767,5.3983
-0.75535,5.8237
-0.67092,5.2408
-0.62604,5.2513
-0.65871,5.3874
-0.68822,5.6778
-0.54765,5.6884
-0.44983,5.7024
-0.40888,5.9872
-0.3884,5.8195
-0.32426,6.0032
-0.37362,6.2755
-0.34226,6.2316
-0.20812,5.9525
-0.18987,6.544
-0.19208,6.3444
-0.047797,6.2463
0.035833,6.037
